Instrument	Date	Field	Platform	Location	Detector_Type	Detector_Subtype	Frequencies	Wavelengths	Detector_Arrays	Total_Detectors		Reference
SPT-POL	2012	CMB	Ground	SPT	Bolometer	TES	90, 150		780*2	1460		
BLAST_TNG	2016		Balloon		KID	LEKID				2000		
ARCONS	2013	Optical	Ground	Palomar	KID	MKID-OIR	Optical-NIR		32x32=2048	2048		
SPIDER	2014	CMB	Balloon		Bolometer	TES				2400		Spider: A Balloon-Borne Large-Scale Cmb Polarimeter, Crill+2008
PACS	2009	General Purpose	Space	Herschel	Bolometer	PACS Silicon		70170	2048, 512	2560		The Photodetector Array Camera And Spectrometer (PACS) On The Herschel Space Observatory, Poglitsch+2010
BICEP3	2015	CMB	Ground	South Pole	Bolometer	TES	150		512*5	2560		
ACT/MBAC	2008	CMB, SZ,	Ground	ACT	Bolometer	TES	148,218,277,		3*1024=3072	3072		Overview Of The Atacama Cosmology Telescope: Receiver, Instrumentation, And Telescope Systems, Swetz+2011
NIKA2	2015		Ground	IRAM	KID	NIKA		1000,2000	1000+4000	5000		
POLARBEAR-2	2016	CMB	Ground	James Ax	Bolometer	TES	95 + 150			7588		The POLARBEAR-2 Experiment, Suzuki, A. et al. 2014
SCUBA2	2011	General Purpose	Ground	JCMT	Bolometer	TES		450/850	1280*4+1280*4	10240		Characterising And Calibrating The Scuba-2 Superconducting Bolometerarrays For Science Observing, Bintley+2010
SPT-3G	2018	CMB	Ground	SPT	Bolometer	TES	95,150,220		(269-6)*6*10	15780		Fabrication of Detector Arrays for the SPT-3G Receiver, Posada et al.+2018
MUSTANG-2	2016	SZ	Ground	GBT	Bolometer	TES	90		223	223		MUSTANG2: A Large Focal Plane Array for the 100-meter Green Bank Telescope, Dicker+2014
CLASS	2016	CMB	Ground	Atacama	Bolometer	TES	40,90,150,220		72+518+510+510	1610		DOI:10.3847/1538-4357/ac397c, Eimer+2022
DARKNESS	2018	Optical	Ground	Palomar	KID	MKID-OIR	Optical		10000	10000		DARKNESS: A Microwave Kinetic Inductance Detector Integral Field Spectrograph for High-Contrast Astronomy, Meeker+2018
AdvACT	2016	CMB	Ground	ACT	Bolometer	TES	28,41,90,150,230		1006+1006+1720+1720+80+80	5612		DOI:10.1117/12.2233746, Thornton+2016
DESHIMA	2019	Spectrometer	Ground	ASTE	KID	MKID-Spec	332-377		49	49		DOI:10.1007/s10909-020-02338-0, Taniguchi+2020
TolTEC	2022	General Purpose	Ground	LMT	KID	MKID	272,215,150		(2006+1266+586)*2	7716		DOI:10.7275/36464651, DeNigris Thesis 2023
CONCERTO	2021	Imaging Spectrometer	Ground	APEX	KID	MKID-Spec-Conv	130-310		2*2152	4304		DOI:10.1051/0004-6361/202449260, Concerto Collaboration+2024
SO-SATs	2024	CMB	Ground	Atacama	Bolometer	TES	27,39,93,145,225,280		30000	30000		DOI:10.3847/1538-4365/ad64c9, SO Collaboration+2024
SO-LAT-FULL	2028	CMB	Ground	Atacama	Bolometer	TES	27,39,93,145,225,280		60000	60000		DOI:10.1088/1475-7516/2025/08/034, SO Collaboration+2025
SO-LAT	2025	CMB	Ground	Atacama	Bolometer	TES	27,39,93,145,225,280		31000	31000		DOI:10.1088/1475-7516/2025/08/034, SO Collaboration+2025
ModCam	2026	General Purpose	Ground	FYST	KID	MKID	280		3456*3	10368		arxiv: Designs and Status of the First Light 280 GHz MKID Array and Mod-Cam Receiver
